,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
159,1d_lstm_resnet34,classification,16,25,0.0001,15,64,,0,,0.553186178207397,0.64,0.8300000000000001
160,1d_lstm_resnet34,classification,16,25,0.0001,15,64,,10000,,0.5601311326026911,0.63,0.8300000000000001
52,1d_lstm_resnet34,regression,32,25,0.0001,15,64,,10,-0.008184031695573,162.1608428955078,0.72,0.87
53,1d_lstm_resnet34,regression,32,25,0.0001,15,64,,1000,-0.32934729913535404,213.81820678710938,0.72,0.87
54,1d_lstm_resnet34,regression,32,25,0.0001,15,64,,100,-0.060261867067643006,170.5372772216797,0.73,0.88
55,1d_lstm_resnet34,regression,32,25,0.0001,15,64,,0,-0.024652120044189003,164.8096466064453,0.74,0.88
56,1d_lstm_resnet34,regression,32,25,0.0001,15,64,,10000,-0.10795824386598701,178.208984375,0.74,0.89
171,1d_lstm_resnet34,classification,32,25,0.0001,15,64,,10,,0.585000038146972,0.6000000000000001,0.8200000000000001
172,1d_lstm_resnet34,classification,32,25,0.0001,15,64,,1000,,0.5758561491966241,0.65,0.8300000000000001
173,1d_lstm_resnet34,classification,32,25,0.0001,15,64,,100,,0.5767168998718261,0.61,0.8200000000000001
174,1d_lstm_resnet34,classification,32,25,0.0001,15,64,,0,,0.586297929286956,0.63,0.84
175,1d_lstm_resnet34,classification,32,25,0.0001,15,64,,10000,,0.6032717227935791,0.53,0.77
62,1d_resnet34,regression,1,25,0.0001,15,64,,10,-0.113171711418035,179.0475311279297,0.68,0.86
63,1d_resnet34,regression,1,25,0.0001,15,64,,1000,-0.118145373812299,179.84751892089844,0.66,0.8300000000000001
64,1d_resnet34,regression,1,25,0.0001,15,64,,100,-0.200776279992115,193.1382598876953,0.68,0.87
65,1d_resnet34,regression,1,25,0.0001,15,64,,0,-0.044229704202102,167.95860290527344,0.67,0.84
66,1d_resnet34,regression,1,25,0.0001,15,64,,10000,-0.213147798388185,195.12814331054688,0.66,0.85
181,1d_resnet34,classification,1,25,0.0001,15,64,,10,,0.619894802570343,0.63,0.8300000000000001
