,model,task,num_modes,num_epochs,lr,step_size,batch_size,spl_quantile,seed,r2,loss,AUROC,AUPRC
155,1d_lstm_resnet34,classification,16,100,0.0001,15,64,,0,,0.5086542367935181,0.6900000000000001,0.86
156,1d_lstm_resnet34,classification,16,100,0.0001,15,64,,10000,,0.5028025507926941,0.7000000000000001,0.86
53,1d_lstm_resnet34,regression,32,100,0.0001,15,64,,10,0.515129083167156,71.57159423828125,0.87,0.9500000000000001
54,1d_lstm_resnet34,regression,32,100,0.0001,15,64,,1000,0.5269884020627751,69.82105255126953,0.86,0.9500000000000001
55,1d_lstm_resnet34,regression,32,100,0.0001,15,64,,100,0.45428846061932504,80.55225372314453,0.8300000000000001,0.93
56,1d_lstm_resnet34,regression,32,100,0.0001,15,64,,0,0.495383898794211,74.48617553710938,0.85,0.9400000000000001
167,1d_lstm_resnet34,classification,32,100,0.0001,15,64,,10,,0.49897772073745705,0.72,0.88
168,1d_lstm_resnet34,classification,32,100,0.0001,15,64,,1000,,0.509276986122131,0.6900000000000001,0.86
169,1d_lstm_resnet34,classification,32,100,0.0001,15,64,,100,,0.498255789279937,0.72,0.88
170,1d_lstm_resnet34,classification,32,100,0.0001,15,64,,0,,0.49907648563385004,0.72,0.88
171,1d_lstm_resnet34,classification,32,100,0.0001,15,64,,10000,,0.50914055109024,0.6900000000000001,0.86
62,1d_resnet34,regression,1,100,0.0001,15,64,,10,0.173913225923318,121.9383316040039,0.74,0.89
63,1d_resnet34,regression,1,100,0.0001,15,64,,1000,0.16102126909144102,123.84131622314453,0.74,0.9
64,1d_resnet34,regression,1,100,0.0001,15,64,,100,0.14871030648589,125.65853118896484,0.73,0.89
65,1d_resnet34,regression,1,100,0.0001,15,64,,0,0.162307753203442,123.65140533447266,0.74,0.89
66,1d_resnet34,regression,1,100,0.0001,15,64,,10000,0.165023902877937,123.25048065185547,0.73,0.88
177,1d_resnet34,classification,1,100,0.0001,15,64,,10,,0.5575768947601311,0.58,0.8
178,1d_resnet34,classification,1,100,0.0001,15,64,,1000,,0.5594764351844781,0.62,0.8200000000000001
179,1d_resnet34,classification,1,100,0.0001,15,64,,100,,0.573726654052734,0.6000000000000001,0.81
180,1d_resnet34,classification,1,100,0.0001,15,64,,0,,0.572340607643127,0.6000000000000001,0.8200000000000001
181,1d_resnet34,classification,1,100,0.0001,15,64,,10000,,0.566916346549987,0.59,0.81
57,1d_resnet34,regression,2,100,0.0001,15,64,,10,0.27859544319699303,106.48623657226562,0.8,0.92
58,1d_resnet34,regression,2,100,0.0001,15,64,,1000,0.31144437243335105,101.63740539550781,0.8,0.92
59,1d_resnet34,regression,2,100,0.0001,15,64,,100,0.34095522556921004,97.28133392333984,0.79,0.91
60,1d_resnet34,regression,2,100,0.0001,15,64,,0,0.308772672114319,102.03178405761719,0.79,0.91
61,1d_resnet34,regression,2,100,0.0001,15,64,,10000,0.308285365685709,102.10372161865234,0.8,0.92
172,1d_resnet34,classification,2,100,0.0001,15,64,,10,,0.5189495086669921,0.7000000000000001,0.86
173,1d_resnet34,classification,2,100,0.0001,15,64,,1000,,0.5356846451759331,0.66,0.84
174,1d_resnet34,classification,2,100,0.0001,15,64,,100,,0.533626854419708,0.62,0.8200000000000001
175,1d_resnet34,classification,2,100,0.0001,15,64,,0,,0.5138812661170961,0.65,0.84
176,1d_resnet34,classification,2,100,0.0001,15,64,,10000,,0.525639057159423,0.64,0.8300000000000001
72,1d_resnet34,regression,4,100,0.0001,15,64,,10,0.35461289873689705,95.26533508300781,0.8300000000000001,0.93
73,1d_resnet34,regression,4,100,0.0001,15,64,,1000,0.401810484244976,88.29850769042969,0.8300000000000001,0.93
74,1d_resnet34,regression,4,100,0.0001,15,64,,100,0.39112488443304405,89.87581634521484,0.8300000000000001,0.93
75,1d_resnet34,regression,4,100,0.0001,15,64,,0,0.40034783967533705,88.51441955566406,0.8200000000000001,0.93
76,1d_resnet34,regression,4,100,0.0001,15,64,,10000,0.370519227235846,92.91740417480469,0.8300000000000001,0.93
187,1d_resnet34,classification,4,100,0.0001,15,64,,10,,0.532742381095886,0.67,0.8300000000000001
188,1d_resnet34,classification,4,100,0.0001,15,64,,1000,,0.49905031919479304,0.73,0.87
189,1d_resnet34,classification,4,100,0.0001,15,64,,100,,0.512856066226959,0.71,0.87
190,1d_resnet34,classification,4,100,0.0001,15,64,,0,,0.5100632905960081,0.6900000000000001,0.85
191,1d_resnet34,classification,4,100,0.0001,15,64,,10000,,0.48751822113990706,0.71,0.85
77,1d_resnet34,regression,8,100,0.0001,15,64,,10,0.48429679155911703,76.12274932861328,0.86,0.9500000000000001
78,1d_resnet34,regression,8,100,0.0001,15,64,,1000,0.48556209178400905,75.93597412109375,0.86,0.9400000000000001
79,1d_resnet34,regression,8,100,0.0001,15,64,,100,0.49122805868052105,75.09961700439453,0.86,0.9400000000000001
